DateTime,AQI
2022-01-13,397
2022-01-14,383
2022-01-15,334
2022-01-16,330
2022-01-17,364
2022-01-18,376
2022-01-19,363
2022-01-21,366
2022-01-22,322
2022-01-23,287
2022-01-24,246
2022-01-25,305
2022-01-26,305
2022-01-27,337
2022-01-28,223
2022-01-29,303
2022-01-30,325
2022-01-31,371
2022-02-01,384
2022-02-02,343
2022-02-03,341
2022-02-04,92
2022-02-05,301
2022-02-06,109
2022-02-07,288
2022-02-08,282
2022-02-09,219
2022-02-10,159
2022-02-11,161
2022-02-12,165
2022-02-13,264
2022-02-14,192
2022-02-15,158
2022-02-16,264
2022-02-17,242
2022-02-18,255
2022-02-19,148
2022-02-20,170
2022-02-21,117
2022-02-22,184
2022-02-23,267
2022-02-24,70
2022-02-25,302
2022-02-26,48
2022-02-27,49
2022-02-28,64
2022-03-01,155
2022-03-02,240
2022-03-03,124
2022-03-04,161
2022-03-05,85
2022-03-06,130
2022-03-07,193
2022-03-08,260
2022-03-09,92
2022-03-10,99
2022-03-11,159
2022-03-12,142
2022-03-13,171
2022-03-14,247
2022-03-15,232
2022-03-16,188
2022-03-17,254
2022-03-18,295
2022-03-19,209
2022-03-20,177
2022-03-21,291
2022-03-22,140
2022-03-23,157
2022-03-24,138
2022-03-25,151
2022-03-27,138
2022-03-28,277
2022-03-29,137
2022-03-30,207
2022-03-31,288
2022-04-01,12
2022-04-02,218
2022-04-03,192
2022-04-04,218
2022-04-05,238
2022-04-06,235
2022-04-07,293
2022-04-08,179
2022-04-09,174
2022-04-10,215
2022-04-11,217
2022-04-12,150
2022-04-13,209
2022-04-14,139
2022-04-15,105
2022-04-16,182
2022-04-17,219
2022-04-18,205
2022-04-19,270
2022-04-20,219
2022-04-21,188
2022-04-22,102
2022-04-23,239
2022-04-24,306
2022-04-25,214
2022-04-26,215
2022-04-27,321
2022-04-28,332
2022-04-29,45
2022-04-30,354
2022-05-01,130
2022-05-02,121
2022-05-03,193
2022-05-04,143
2022-05-05,107
2022-05-06,268
2022-05-07,121
2022-05-08,159
2022-05-09,107
2022-05-10,107
2022-05-11,107
2022-05-12,107
2022-05-13,108
2022-05-14,108
2022-05-15,108
2022-05-16,108
2022-05-17,109
2022-05-18,109
2022-05-19,109
2022-05-20,109
2022-05-21,109
2022-05-22,110
2022-05-24,110
2022-05-25,110
2022-05-26,111
2022-05-27,111
2022-05-28,111
2022-05-29,111
2022-05-30,112
2022-05-31,112
2022-06-01,112
2022-06-02,112
2022-06-03,113
2022-06-04,113
2022-06-05,113
2022-06-06,113
2022-06-09,114
2022-06-12,129
2022-06-16,46
2022-06-17,39
2022-06-18,45
2022-06-19,51
2022-06-20,59
2022-06-21,59
2022-06-22,77
2022-06-23,85
2022-06-24,98
2022-06-25,122
2022-06-26,130
2022-06-27,81
2022-06-28,109
2022-06-29,92
2022-06-30,110
2022-07-01,79
2022-07-02,53
2022-07-03,34
2022-07-04,80
2022-07-05,91
2022-07-06,73
2022-07-07,57
2022-07-08,47
2022-07-09,62
2022-07-10,58
2022-07-11,55
2022-07-12,52
2022-07-13,49
2022-07-14,42
2022-07-15,36
2022-07-16,34
2022-07-17,39
2022-07-18,56
2022-07-19,56
2022-07-20,54
2022-07-21,52
2022-07-22,77
2022-07-23,38
2022-07-24,32
2022-07-25,32
2022-07-26,40
2022-07-27,38
2022-07-28,27
2022-07-29,27
2022-07-30,28
2022-07-31,29
2022-08-01,26
2022-08-02,35
2022-08-03,52
2022-08-04,68
2022-08-05,72
2022-08-06,76
2022-08-07,62
2022-08-08,62
2022-08-09,61
2022-08-10,31
2022-08-11,22
2022-08-12,28
2022-08-13,40
2022-08-14,32
2022-08-15,25
2022-08-16,22
2022-08-17,15
2022-08-18,29
2022-08-19,37
2022-08-20,45
2022-08-21,66
2022-08-22,52
2022-08-24,26
2022-08-25,40
2022-08-26,43
2022-08-27,47
2022-08-28,54
2022-08-29,65
2022-08-30,67
2022-08-31,70
2022-09-01,58
2022-09-02,59
2022-09-03,44
2022-09-04,30
2022-09-05,24
2022-09-06,43
2022-09-07,62
2022-09-08,87
2022-09-09,87
2022-09-10,78
2022-09-11,46
2022-09-12,29
2022-09-13,25
2022-09-14,21
2022-09-15,23
2022-09-16,17
2022-09-17,46
2022-09-18,60
2022-09-19,120
2022-09-20,72
2022-09-21,59
2022-09-22,36
2022-09-23,41
2022-09-24,43
2022-09-25,35
2022-09-26,71
2022-09-27,58
2022-09-28,77
2022-09-29,96
2022-09-30,138
2022-10-01,141
2022-10-02,109
2022-10-03,61
2022-10-04,89
2022-10-05,180
2022-10-06,22
2022-10-07,24
2022-10-08,16
2022-10-09,10
2022-10-10,18
2022-10-11,46
2022-10-12,98
2022-10-13,72
2022-10-14,117
2022-10-15,188
2022-10-16,207
2022-10-17,223
2022-10-18,205
2022-10-19,142
2022-10-20,169
2022-10-21,250
2022-10-22,265
2022-10-23,281
2022-10-24,364
2022-10-25,254
2022-10-26,305
2022-10-27,333
2022-10-28,310
2022-10-29,339
2022-10-30,294
2022-10-31,383
2022-11-01,377
2022-11-02,368
2022-11-05,354
2022-11-06,288
2022-11-07,332
2022-11-08,396
2022-11-09,177
2022-11-10,293
2022-11-11,387
2022-11-12,363
2022-11-13,330
2022-11-14,278
2022-11-15,72
2022-11-16,281
2022-11-17,310
2022-11-18,260
2022-11-19,312
2022-11-20,338
2022-11-21,323
2022-11-22,301
2022-11-23,302
2022-11-24,233
2022-11-25,304
2022-11-26,355
2022-11-27,308
2022-11-28,345
2022-11-29,375
2022-11-30,338
2022-12-01,358
2022-12-02,134
2022-12-03,358
2022-12-04,380
2022-12-05,346
2022-12-06,373
2022-12-07,314
2022-12-08,312
2022-12-09,337
2022-12-10,367
2022-12-11,319
2022-12-12,212
2022-12-13,135
2022-12-14,173
2022-12-15,202
2022-12-16,301
2022-12-17,326
2022-12-18,350
2022-12-19,374
2022-12-20,398
2022-12-21,382
2022-12-22,390
2022-12-24,338
2022-12-25,362
2022-12-26,379
2022-12-27,356
2022-12-28,289
2022-12-29,355
2022-12-30,356
2023-01-01,264
2023-01-04,372
2023-01-05,396
2023-01-11,361
2023-01-12,364
2023-01-13,348
2023-01-14,333
2023-01-15,317
2023-01-16,301
2023-01-17,326
2023-01-18,341
2023-01-19,380
2023-01-20,232
2023-01-21,356
2023-01-23,311
2023-01-24,206
2023-01-25,210
2023-01-26,265
2023-01-27,93
2023-01-28,296
2023-01-29,213
2023-01-30,130
2023-01-31,310
2023-02-02,243
2023-02-03,231
2023-02-04,218
2023-02-05,206
2023-02-06,193
2023-02-07,181
2023-02-08,168
2023-02-09,156
2023-02-10,143
2023-02-11,131
2023-02-12,118
2023-02-14,96
2023-02-15,197
2023-02-16,319
2023-02-17,318
2023-02-18,316
2023-02-19,315
2023-02-20,313
2023-02-21,312
2023-02-22,310
2023-02-23,308
2023-02-24,307
2023-02-25,305
2023-02-26,304
2023-02-27,302
2023-02-28,301
2023-03-01,296
2023-03-02,289
2023-03-03,282
2023-03-04,275
2023-03-05,269
2023-03-06,262
2023-03-07,255
2023-03-08,248
2023-03-09,241
2023-03-10,235
2023-03-11,228
2023-03-12,221
2023-03-13,214
2023-03-14,207
2023-03-15,201
2023-03-16,194
2023-03-17,187
2023-03-18,180
2023-03-19,173
2023-03-20,69
2023-03-21,81
2023-03-22,217
2023-03-23,66
2023-03-24,132
2023-03-25,51
2023-03-26,95
2023-03-27,85
2023-03-28,102
2023-03-29,132
2023-03-30,107
2023-03-31,28
2023-04-01,69
2023-04-02,76
2023-04-03,97
2023-04-04,59
2023-04-05,73
2023-04-06,56
2023-04-07,64
2023-04-08,119
2023-04-09,205
2023-04-10,134
2023-04-11,288
2023-04-12,199
2023-04-13,206
2023-04-14,224
2023-04-15,162
2023-04-16,153
2023-04-17,117
2023-04-18,127
2023-04-19,129
2023-04-20,105
2023-04-21,90
2023-04-22,99
2023-04-23,40
2023-04-24,88
2023-04-25,85
2023-04-26,140
2023-04-27,170
2023-04-28,103
2023-04-29,40
2023-04-30,83
2023-05-01,71
2023-05-02,63
2023-05-03,73
2023-05-04,83
2023-05-05,122
2023-05-06,245
2023-05-07,96
2023-05-08,13
2023-05-09,197
2023-05-10,170
2023-05-11,304
2023-05-12,146
2023-05-13,182
2023-05-14,197
2023-05-15,261
2023-05-16,306
2023-05-17,197
2023-05-18,57
2023-05-19,94
2023-05-20,95
2023-05-21,126
2023-05-22,127
2023-05-23,91
2023-05-24,49
2023-05-25,36
2023-05-26,46
2023-05-27,56
2023-05-28,66
2023-05-29,48
2023-05-30,54
2023-05-31,85
2023-06-01,58
2023-06-02,58
2023-06-03,57
2023-06-04,57
2023-06-05,57
2023-06-06,57
2023-06-07,57
2023-06-08,56
2023-06-09,56
2023-06-10,56
2023-06-11,56
2023-06-12,55
2023-06-16,55
2023-06-17,54
2023-06-18,54
2023-06-19,54
2023-06-20,54
2023-06-21,53
2023-06-22,53
2023-06-23,53
2023-06-24,53
2023-06-25,53
2023-06-26,52
2023-06-27,52
2023-06-28,52
2023-06-29,52
2023-06-30,51
2023-07-01,51
2023-07-02,50
2023-07-03,49
2023-07-04,48
2023-07-05,47
2023-07-06,46
2023-07-07,45
2023-07-08,44
2023-07-09,44
2023-07-10,43
2023-07-11,42
2023-07-12,41
2023-07-13,40
2023-07-14,39
2023-07-15,44
2023-07-16,35
2023-07-17,51
2023-07-18,61
2023-07-19,46
2023-07-20,50
2023-07-21,65
2023-07-22,51
2023-07-23,31
2023-07-24,39
2023-07-25,51
2023-07-26,41
2023-07-27,18
2023-07-28,39
2023-07-29,17
2023-07-30,22
2023-07-31,27
2023-08-01,33
2023-08-02,38
2023-08-03,43
2023-08-04,49
2023-08-05,46
2023-08-06,44
2023-08-07,3
2023-08-09,46
2023-08-10,53
2023-08-11,56
2023-08-13,38
2023-08-14,48
